,Restaurant,City,Area,Address,Food type,Price,Avg ratings,Total ratings,longitude,latitude
1549,New Bakers Shoppee,New Delhi,Alaknanda,"A-12, Alaknanda Shopping Complex, Opposite ICICI Bank, Alaknanda, New Delhi","Bakery, Fast Food",100.0,3.2,21,77.25402072,28.52553898
1550,Pant  Ice Cream Parlour,New Delhi,Alaknanda,"A-17, Alaknanda Market, Alaknanda, New Delhi","Desserts, Ice Cream",75.0,3.3,16,77.25401971,28.52572397
1551,PM 2 AM Food Bank,New Delhi,Alaknanda,"1st Floor, Alaknanda Market, Alaknanda, New Delhi",North Indian,250.0,2.5,37,77.25118,28.52757
1552,Punjabi Chaap Corner,New Delhi,Alaknanda,"Shop 6, GF, Plot 2, NRI Colony, Alaknanda, New Delhi",North Indian,125.0,2.9,4,77.2542022,28.533376
1553,Sartaj Food Corner,New Delhi,Alaknanda,"J 3/21, DDA Flats, Opposite Alaknanda Market, Alaknanda, New Delhi","North Indian, South Indian, Chinese",250.0,2.8,7,77.2540755,28.5258419
1554,The Sugar Therapy,New Delhi,Alaknanda,"63-C, Pocket F, Gangotri Apartments, Alaknanda, New Delhi","Bakery, Desserts",225.0,3.4,22,77.252479,28.523785
1555,Biryani Binge,New Delhi,Alaknanda,"Mandakini Enclave, Alaknanda, New Delhi","North Indian, Biryani",300.0,3.9,97,77.25034475,28.53141028
1556,City of Joy,New Delhi,Alaknanda,"2, 1st Floor, Aravali Shopping Complex, Alaknanda, New Delhi",Bengali,400.0,3.9,452,77.25312788,28.53267894
1557,Letz Roll,New Delhi,Alaknanda,"Narmada Shopping Complex, Opposite Don Bosco School, Alaknanda, New Delhi","Ice Cream, Desserts",125.0,3.6,14,77.2468466,28.5278902
1558,Nukkad,New Delhi,Alaknanda,"Shop 14, Nilgiri Apartments, Alaknanda, New Delhi","Chinese, Mughlai, North Indian",325.0,3.6,82,77.25,28.53
1559,Shree Rathnam,New Delhi,Alaknanda,"D1, First Floor, Abhishek Tower, Alaknanda, New Delhi","South Indian, North Indian, Chinese",400.0,2.4,31,77.2543449,28.5255985
1560,Alaturka,New Delhi,"Ambience Mall, Vasant Kunj","Food Court, 3rd Floor, Ambience Mall, Vasant Kunj, New Delhi",Turkish,300.0,2.5,100,77.1549849,28.541562
1561,Amici Gourmet Pizza,New Delhi,"Ambience Mall, Vasant Kunj","Food Court, 3rd Floor, Ambience Mall, Vasant Kunj, New Delhi","Pizza, Italian",400.0,3.1,230,77.1549896,28.5414797
1562,Burger King,New Delhi,"Ambience Mall, Vasant Kunj","3rd Floor,  Ambience Mall, Vasant Kunj, New Delhi","Burger, Fast Food",250.0,3.2,458,77.1551985,28.5417053
1563,Kylin Express,New Delhi,"Ambience Mall, Vasant Kunj","5, Food Court, 3rd Floor, Ambience Mall, Vasant Kunj, New Delhi","Asian, Chinese",350.0,2.6,176,77.155068,28.5411683
